Section,Regime,Return,Sharpe,MaxDD,ShortWindow,LongWindow,TrendThreshold,VolMethod,VolLookback,MaxDDExit,ProfitThreshold
1,0,0.0860,0.7059,-0.1665,14,22,0.25,parkinson,62,0.3,N/A
1,1,0.0860,0.7059,-0.1665,8,30,0.2,parkinson,142,0.26,N/A
1,2,0.0860,0.7059,-0.1665,24,168,0.1,parkinson,171,0.17,N/A
2,0,-0.1562,-1.5423,-0.3642,6,53,0.1,parkinson,19,0.1,N/A
2,1,-0.1562,-1.5423,-0.3642,10,94,0.35,parkinson,148,0.23,N/A
2,2,-0.1562,-1.5423,-0.3642,16,84,0.15000000000000002,parkinson,166,0.3,N/A
3,0,0.1429,1.8179,-0.2931,7,22,0.25,parkinson,118,0.16,N/A
3,1,0.1429,1.8179,-0.2931,9,198,0.2,parkinson,185,0.22,N/A
3,2,0.1429,1.8179,-0.2931,10,148,0.15000000000000002,parkinson,181,0.24000000000000002,N/A
4,0,-0.0629,-1.0022,-0.2174,22,204,0.2,parkinson,155,0.28,N/A
4,1,-0.0629,-1.0022,-0.2174,21,95,0.1,parkinson,163,0.24000000000000002,N/A
4,2,-0.0629,-1.0022,-0.2174,12,104,0.35,parkinson,118,0.18,N/A
5,0,-0.1337,-1.6866,-0.3521,23,189,0.1,parkinson,116,0.17,N/A
5,1,-0.1337,-1.6866,-0.3521,11,26,0.30000000000000004,parkinson,186,0.23,N/A
5,2,-0.1337,-1.6866,-0.3521,11,203,0.35,parkinson,138,0.14,N/A
6,0,-0.2703,-3.2589,-0.2983,20,37,0.1,parkinson,20,0.13,N/A
6,1,-0.2703,-3.2589,-0.2983,9,207,0.25,parkinson,105,0.17,N/A
6,2,-0.2703,-3.2589,-0.2983,23,168,0.15000000000000002,parkinson,41,0.2,N/A
7,0,-0.2757,-3.0750,-0.3820,23,94,0.2,parkinson,9,0.25,N/A
7,1,-0.2757,-3.0750,-0.3820,7,128,0.35,parkinson,42,0.29000000000000004,N/A
7,2,-0.2757,-3.0750,-0.3820,13,69,0.35,parkinson,148,0.14,N/A
8,0,-0.1634,-1.6089,-0.1957,5,225,0.25,parkinson,54,0.28,N/A
8,1,-0.1634,-1.6089,-0.1957,5,159,0.2,parkinson,12,0.3,N/A
8,2,-0.1634,-1.6089,-0.1957,23,201,0.25,parkinson,26,0.14,N/A
