Section,Regime,Return,Sharpe,MaxDD,ShortWindow,LongWindow,TrendThreshold,VolMethod,VolLookback,MaxDDExit,ProfitThreshold
1,0,0.0207,-0.5724,-0.0925,8,115,0.4,parkinson,82,0.13,N/A
1,1,0.0207,-0.5724,-0.0925,19,151,0.35,parkinson,21,0.16,N/A
2,0,-0.0915,-2.6960,-0.1065,19,176,0.30000000000000004,parkinson,164,0.22999999999999998,N/A
2,1,-0.0915,-2.6960,-0.1065,3,141,0.30000000000000004,parkinson,51,0.15000000000000002,N/A
3,0,-0.0952,-2.6643,-0.1345,20,66,0.30000000000000004,parkinson,47,0.12,N/A
3,1,-0.0952,-2.6643,-0.1345,3,209,0.30000000000000004,parkinson,46,0.25,N/A
4,0,-0.0008,-0.7904,-0.0633,14,80,0.35,parkinson,54,0.18,N/A
4,1,-0.0008,-0.7904,-0.0633,11,176,0.25,parkinson,39,0.22999999999999998,N/A
5,0,-0.0081,0.1468,-0.0478,16,88,0.5,parkinson,127,0.21000000000000002,N/A
5,1,-0.0081,0.1468,-0.0478,19,201,0.30000000000000004,parkinson,75,0.09,N/A
6,0,-0.0785,-2.4274,-0.0832,16,36,0.1,parkinson,99,0.22000000000000003,N/A
6,1,-0.0785,-2.4274,-0.0832,5,133,0.25,parkinson,101,0.19,N/A
7,0,0.0041,-1.0950,-0.0495,20,92,0.65,parkinson,35,0.16,N/A
7,1,0.0041,-1.0950,-0.0495,3,158,0.25,parkinson,191,0.16999999999999998,N/A
8,0,0.0388,1.5477,-0.0255,4,173,0.15000000000000002,parkinson,97,0.08,N/A
8,1,0.0388,1.5477,-0.0255,16,179,0.7,parkinson,137,0.16999999999999998,N/A
9,0,0.0409,0.3861,-0.0642,10,95,0.2,parkinson,36,0.19,N/A
9,1,0.0409,0.3861,-0.0642,20,185,0.45000000000000007,parkinson,184,0.19,N/A
10,0,-0.0243,-3.8641,-0.0690,6,83,0.25,parkinson,134,0.21000000000000002,N/A
10,1,-0.0243,-3.8641,-0.0690,5,152,0.6,parkinson,170,0.16999999999999998,N/A
11,0,0.0451,-2.1236,-0.0247,3,99,0.15000000000000002,parkinson,126,0.2,N/A
11,1,0.0451,-2.1236,-0.0247,17,45,0.25,parkinson,29,0.22000000000000003,N/A
12,0,0.0203,2.4734,-0.0336,3,190,0.4,parkinson,162,0.15000000000000002,N/A
12,1,0.0203,2.4734,-0.0336,9,28,0.1,parkinson,153,0.16,N/A
13,0,0.1341,4.7518,-0.0255,8,108,0.7,parkinson,114,0.08,N/A
13,1,0.1341,4.7518,-0.0255,21,255,0.15000000000000002,parkinson,162,0.14,N/A
14,0,-0.0119,-4.8203,-0.0410,5,102,0.1,parkinson,15,0.16999999999999998,N/A
14,1,-0.0119,-4.8203,-0.0410,12,21,0.45000000000000007,parkinson,91,0.13,N/A
15,0,-0.0818,-4.7896,-0.0877,19,175,0.25,parkinson,17,0.15000000000000002,N/A
15,1,-0.0818,-4.7896,-0.0877,17,223,0.45000000000000007,parkinson,160,0.24,N/A
16,0,-0.0315,-4.0774,-0.0673,5,296,0.45000000000000007,parkinson,46,0.22000000000000003,N/A
16,1,-0.0315,-4.0774,-0.0673,11,37,0.35,parkinson,169,0.13,N/A
