section,regime,trial,score,vol_method,vol_lookback,short_window,long_window,min_holding_period,trend_strength_threshold,regime_method,n_regimes,regime_stability,target_vol,max_drawdown_exit,sharpe_ratio,total_return,max_drawdown,sortino_ratio,calmar_ratio
0,0,0,7.697119963393474,parkinson,58,21,33,24,0.25,quantile,3,12,0.6,0.27,3.3897211869343424,1.2004518739852608,-0.25320169232490486,5.462071187865688,0.14912794060717918
0,0,1,4.893108024880865,parkinson,86,17,131,6,0.15000000000000002,hmm,3,12,0.6,0.12000000000000001,2.5978755600886845,1.2429546040828243,-0.3487761034691004,5.923175379105865,0.11157414996908344
0,0,2,7.159435973673778,parkinson,177,14,183,12,0.30000000000000004,quantile,2,24,0.5,0.2,1.9485812203320003,1.2370290727015556,-0.23125828193658116,7.156066572485227,0.1644419010525796
0,0,3,9.678628095804354,parkinson,70,5,184,24,0.15000000000000002,hmm,3,48,0.6,0.13,4.002969316879355,1.5354286874729355,-0.29335212318484494,6.484966233860155,0.1496152170144438
0,0,4,9.36807106741135,parkinson,52,7,109,6,0.15000000000000002,hmm,3,48,0.39999999999999997,0.17,4.495890483362662,1.4240251651460039,-0.24725787032796542,6.903701234349962,0.16470387241987444
0,0,5,9.886077047469204,parkinson,28,11,163,18,0.15000000000000002,quantile,3,24,0.39999999999999997,0.16,5.517174502392376,1.4254979592546033,-0.14553727887378998,8.828006688323683,0.2745072998865072
0,0,6,7.643956285577773,parkinson,160,17,92,18,0.25,quantile,2,12,0.7,0.1,2.2649269776298078,1.302298559352574,-0.26498184992769325,5.808843428344932,0.15024833682753638
0,0,7,2.094876061862345,parkinson,37,22,230,24,0.35,quantile,2,12,0.75,0.22,1.4564805213673362,0.27332716023573544,-0.17037267010763446,2.015983641995638,0.06677976189244661
0,0,8,5.857227193528467,parkinson,194,21,235,12,0.2,hmm,3,60,0.55,0.12000000000000001,0.7426334199450578,1.0971820967111876,-0.19398568811068384,6.651163501841334,0.18224620552137122
0,0,9,9.133484496416683,parkinson,138,11,96,18,0.35,quantile,2,48,0.65,0.22,3.431109147145935,1.4835859845687431,-0.2619184970648364,6.36741870684729,0.16396622243477946
0,0,10,6.621396230680746,parkinson,16,10,165,18,0.1,quantile,3,36,0.35,0.3,5.4911184298986475,0.7751674031462845,-0.07244805101740726,7.167428606128902,0.3462971904679442
0,0,11,4.896325325616863,parkinson,96,6,189,24,0.1,hmm,3,72,0.44999999999999996,0.15000000000000002,2.583294569102828,1.1414343558414535,-0.30040692851011985,5.490036175158568,0.1208378154915524
0,0,12,2.184555274051019,parkinson,11,5,152,24,0.15000000000000002,hmm,3,36,0.5,0.16,2.3749304361120953,0.19941801119899427,-0.13840105335591424,2.000562813405849,0.058132583710210795
0,0,13,5.586868003099179,parkinson,77,10,203,18,0.2,hmm,3,24,0.35,0.18,2.807414376138145,0.8366321630060212,-0.2521904332773687,4.618416597122254,0.11321130582153982
0,0,14,10.427739327021706,parkinson,136,8,154,12,0.15000000000000002,quantile,3,60,0.44999999999999996,0.14,3.5696717333142827,1.7285806920729128,-0.14665273992007588,10.662570415988386,0.3148688792020885
0,0,15,10.035075834266545,parkinson,124,12,53,12,0.1,quantile,3,72,0.44999999999999996,0.14,3.596030676860697,1.6474120991672394,-0.13913363368641019,9.890595480940872,0.32245689643187087
0,0,16,9.402276434054784,parkinson,123,13,42,12,0.1,quantile,3,72,0.44999999999999996,0.1,3.8036517556940908,1.5000901112415477,-0.11287702241928876,9.370784049189142,0.3751256324205377
0,0,17,10.227017723244439,parkinson,117,8,61,12,0.1,quantile,2,60,0.5,0.2,3.6596218598394197,1.679441358664946,-0.1622549022916535,8.882594463734083,0.2811002813008382
0,0,18,7.759934555881013,parkinson,145,8,72,6,0.2,quantile,2,60,0.5,0.25,2.489268622777916,1.303060048898411,-0.25255364160514315,6.170106056280212,0.1565040589839396
0,0,19,7.6074928115032066,parkinson,103,8,129,12,0.1,quantile,2,60,0.39999999999999997,0.19,2.4893499619025943,1.272563566110382,-0.25387746620072693,7.955748044027564,0.14983769186346685
0,0,20,11.71605518864456,parkinson,118,16,73,6,0.2,quantile,2,60,0.55,0.22,4.3749762803011,1.9057134096988024,-0.15722120873584833,9.291328838630298,0.31256589683123576
0,0,21,11.102237323433123,parkinson,118,16,66,6,0.2,quantile,2,60,0.55,0.22,4.151588151983555,1.8052886494882694,-0.15157663129580468,8.95370017238491,0.3143890078049523
0,0,22,8.09015742814664,parkinson,150,19,78,6,0.25,quantile,2,60,0.55,0.24000000000000002,2.712561271978913,1.3467753584314366,-0.2643933726315393,6.2113235100288415,0.1529424986457921
0,0,23,8.083629378589698,parkinson,164,16,112,6,0.2,quantile,2,72,0.55,0.22,2.72535441124507,1.3441904345934326,-0.2626594925336192,6.423103642666868,0.1535908258985017
0,0,24,10.793806223587882,parkinson,133,24,83,6,0.2,quantile,2,48,0.65,0.26,3.640959816231964,1.7946652630943802,-0.1608497556680022,9.45898072489432,0.29577641134834853
